tr2010gj,tr2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G0600010420400,06001420400,G0600010420402,06001420402,0.824608843,0.5966709347,0.6310063463,0.6042780749,0.6297989031,0.6126582278,1,0.6291208791
G0600010420500,06001420500,G0600010420500,06001420500,0.9975113682,0.9983775559,0.9983626846,0.9983952083,0.9982492521,0.9982828606,0.9983730372,0.9981326878
G0600010420500,06001420500,G0600010421900,06001421900,0.0024886318,0.0016224441,0.0016373154,0.0016047917,0.0017507479,0.0017171394,0.0016269628,0.0018673122
G0600010420600,06001420600,G0600010420500,06001420500,0.0017317323,0.0001886032,0.0001757482,0.0001285682,0.0001795746,0.0001832289,0.0001193752,0.000362255
G0600010420600,06001420600,G0600010420600,06001420600,0.9942043343,0.9963013682,0.9965102288,0.9969888019,0.9971878804,0.9972886609,0.9963805675,0.999637745
G0600010420600,06001420600,G0600010421300,06001421300,0.0038169051,0.0033290422,0.0031431432,0.0027339939,0.002496804,0.0023977542,0.0033195851,0
G0600010420600,06001420600,G0600010421900,06001421900,0.0002470284,0.0001809863,0.0001708798,0.000148636,0.000135741,0.000130356,0.0001804722,0
G0600010421100,06001421100,G0600010421100,06001421100,1,1,1,1,1,1,1,1
G0600010421200,06001421200,G0600010421200,06001421200,0.9843153019,0.9869117984,0.9867292549,0.9883941083,0.9863225819,0.9859028989,0.9882773972,0.9684034424
G0600010421200,06001421200,G0600130391000,06013391000,0.0156846981,0.0130882016,0.0132707451,0.0116058917,0.0136774181,0.0140971011,0.0117226028,0.0315965576
G0600010421300,06001421300,G0600010420100,06001420100,0.0157787301,0.0190267761,0.01890588,0.0185073314,0.0187930838,0.0194783125,0.0177932223,0.0232744304
G0600010421300,06001421300,G0600010420600,06001420600,0.0052218423,0.0041862866,0.0040506616,0.0052825014,0.0039449156,0.0038902949,0.0043697215,0.0020409494
G0600010421300,06001421300,G0600010421300,06001421300,0.9789994276,0.9767869373,0.9770434584,0.9762101671,0.9772620006,0.9766313925,0.9778370562,0.9746846203
G0600010421400,06001421400,G0600010421400,06001421400,1,1,1,1,1,1,1,1
G0600010421500,06001421500,G0600010421500,06001421500,0.9975983548,1,1,1,1,1,1,1
